Event	ID	Name			Wwise Object Path	Notes
	513571230	Play_Combat			\Music\Play_Combat	
	3711372643	Play_Roaming			\Music\Play_Roaming	

State Group	ID	Name			Wwise Object Path	Notes
	2764240573	Combat			\Default Work Unit\Combat	
	3557636762	Roaming			\Default Work Unit\Roaming	

State	ID	Name	State Group			Notes
	748895195	None	Combat			
	3177314144	Part2	Combat			
	3177314145	Part3	Combat			
	3177314147	Part1	Combat			
	3177314148	Part6	Combat			
	3177314150	Part4	Combat			
	3177314151	Part5	Combat			
	748895195	None	Roaming			
	2874554373	RoamState2	Roaming			
	2874554374	RoamState1	Roaming			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	13891880	Office_Bossa_Part1_Comp	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part1_Comp_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part1\Part1\Office_Bossa_Part1_Comp		11780708
	19949168	Office_Metal_Part2_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part2_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part2\Part2\Office_Metal_Part2_Bass		11289744
	23164139	Office_Bossa_Part1_Perc	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part1_Perc_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part1\Part1\Office_Bossa_Part1_Perc		11780708
	55046323	Office_Metal_Part3_Chords	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part3_Chords_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part3\Part3\Office_Metal_Part3_Chords		2822632
	109508003	Office_Bossa_Part1_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part1_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part1\Part1\Office_Bossa_Part1_Bass		11780708
	110276526	Office_Bossa_Part1_Riff	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part1_Riff_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part1\Part1\Office_Bossa_Part1_Riff		11780708
	122133467	Office_Metal_Part6_Synth	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part6_Synth_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part6\Part6\Office_Metal_Part6_Synth		2823220
	140015115	Office_Metal_Part2_GtrRiff	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part2_GtrRiff_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part2\Part2\Office_Metal_Part2_GtrRiff		11289744
	155344355	Office_Metal_Part2_Drums	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part2_Drums_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part2\Part2\Office_Metal_Part2_Drums		11289744
	157003380	Office_Bossa_Part1_Melody	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part1_Melody_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part1\Part1\Office_Bossa_Part1_Melody		11780708
	258635183	Office_Metal_Part5_Drums	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part5_Drums_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part5\Part5\Office_Metal_Part5_Drums		2822100
	329925088	Office_Metal_Part5_Synth	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part5_Synth_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part5\Part5\Office_Metal_Part5_Synth		2822100
	334450471	Office_Metal_Part6_Chords	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part6_Chords_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part6\Part6\Office_Metal_Part6_Chords		2823220
	344948363	Office_Bossa_Part2_Riff	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part2_Riff_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part2\Part2\Office_Bossa_Part2_Riff		11780708
	347135299	Office_Metal_Part3_GtrRiff	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part3_GtrRiff_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part3\Part3\Office_Metal_Part3_GtrRiff		2822632
	380773652	Office_Bossa_Part2_Perc	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part2_Perc_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part2\Part2\Office_Bossa_Part2_Perc		11780708
	391595299	Office_Metal_Part4_Chords	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part4_Chords_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part4\Part4\Office_Metal_Part4_Chords		2822360
	429856857	Office_Metal_Part6_WeirdSounds	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part6_WeirdSounds_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part6\Part6\Office_Metal_Part6_WeirdSounds		2823220
	451720129	Office_Metal_Part2_Chords	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part2_Chords_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part2\Part2\Office_Metal_Part2_Chords		11289744
